model,method,checkpoint,dataset,n_items,majority_correct,majority_accuracy_pct,pass_at_1_pct,pass_at_2_pct,pass_at_4_pct,pass_at_64_pct
Qwen3-4B,TTRL,125,OptMATH,166,50,30.12,19.01,25.29,31.32,52.41
Qwen3-4B,TTRL,125,MAMO,203,68,33.50,27.56,34.95,41.52,56.16
Qwen3-4B,TTRL,125,NL4OPT,228,183,80.26,78.61,80.73,82.13,88.16
Qwen3-4B,TTRL,125,InOR,100,53,53.00,43.84,50.40,55.95,74.00
Qwen3-4B,TTRL,175,OptMATH,166,42,25.30,20.03,24.60,29.52,NA
Qwen3-4B,TTRL,175,MAMO,203,58,28.57,27.46,32.18,36.95,NA
Qwen3-4B,TTRL,175,NL4OPT,228,183,80.26,79.93,82.09,83.77,NA
Qwen3-4B,TTRL,175,InOR,100,54,54.00,45.53,51.76,56.81,72.00
Qwen3-4B,SOLID,125,OptMATH,166,66,39.76,24.25,31.62,38.70,58.43
Qwen3-4B,SOLID,125,MAMO,203,67,33.00,29.51,35.71,41.34,50.74
Qwen3-4B,SOLID,125,NL4OPT,228,185,81.14,79.87,81.70,82.93,85.96
Qwen3-4B,SOLID,125,InOR,100,53,53.00,43.92,50.85,56.64,74.00
Qwen3-4B,SOLID,175,OptMATH,166,67,40.36,24.86,32.36,39.25,59.64
Qwen3-4B,SOLID,175,MAMO,203,72,35.47,31.02,36.76,42.22,52.22
Qwen3-4B,SOLID,175,NL4OPT,228,184,80.70,79.23,80.88,81.80,85.09
Qwen3-4B,SOLID,175,InOR,100,51,51.00,45.11,51.37,56.59,73.00
StepORLM,TTRL,125,OptMATH,166,51,30.72,17.48,23.64,30.38,57.23
StepORLM,TTRL,125,MAMO,203,140,68.97,61.22,68.08,72.26,86.21
StepORLM,TTRL,125,NL4OPT,228,220,96.49,94.52,96.23,97.07,98.25
StepORLM,TTRL,125,InOR,100,48,48.00,39.36,46.19,51.21,60.00
StepORLM,TTRL,175,OptMATH,0,0,NA,NA,NA,NA,NA
StepORLM,TTRL,175,MAMO,0,0,NA,NA,NA,NA,NA
StepORLM,TTRL,175,NL4OPT,0,0,NA,NA,NA,NA,NA
StepORLM,TTRL,175,InOR,0,0,NA,NA,NA,NA,NA
StepORLM,SOLID,125,OptMATH,166,59,35.54,17.49,23.85,30.53,56.63
StepORLM,SOLID,125,MAMO,203,142,69.95,63.95,69.87,73.19,83.74
StepORLM,SOLID,125,NL4OPT,228,218,95.61,93.98,95.70,96.55,98.25
StepORLM,SOLID,125,InOR,100,48,48.00,39.81,46.07,50.59,59.00
StepORLM,SOLID,175,OptMATH,166,51,30.72,18.35,24.39,30.17,51.81
StepORLM,SOLID,175,MAMO,203,142,69.95,66.74,71.85,74.88,84.24
StepORLM,SOLID,175,NL4OPT,228,218,95.61,93.94,95.47,96.28,97.81
StepORLM,SOLID,175,InOR,100,48,48.00,38.97,45.29,49.92,61.00
